n_processors,bytes, wall_time ,iterations
2,2,0.00509394,10000
2,4,0.00502619,10000
2,8,0.0050107,10000
2,16,0.00561421,10000
2,32,0.00567864,10000
2,64,0.0057668,10000
2,128,0.00590761,10000
2,256,0.00624453,10000
2,512,0.00700508,10000
2,1024,0.0148983,10000
2,2048,0.0187721,10000
2,4096,0.0426152,10000
4,2,0.00780492,10000
4,4,0.00765607,10000
4,8,0.00765394,10000
4,16,0.00837267,10000
4,32,0.00844089,10000
4,64,0.00883543,10000
4,128,0.00893979,10000
4,256,0.00926355,10000
4,512,0.010642,10000
4,1024,0.0224323,10000
4,2048,0.0283618,10000
4,4096,0.0654363,10000
8,2,0.00774516,10000
8,4,0.00747224,10000
8,8,0.00774404,10000
8,16,0.00862888,10000
8,32,0.00864171,10000
8,64,0.00896388,10000
8,128,0.00945002,10000
8,256,0.00923693,10000
8,512,0.0121767,10000
8,1024,0.0243735,10000
8,2048,0.0324845,10000
8,4096,0.0630348,10000
16,2,0.00783908,10000
16,4,0.00731646,10000
16,8,0.00731148,10000
16,16,0.00847862,10000
16,32,0.00840679,10000
16,64,0.00943795,10000
16,128,0.00962395,10000
16,256,0.00909663,10000
16,512,0.0117468,10000
16,1024,0.0230495,10000
16,2048,0.0298702,10000
16,4096,0.0634317,10000
32,2,0.0145738,10000
32,4,0.00795523,10000
32,8,0.00742169,10000
32,16,0.00885624,10000
32,32,0.00891018,10000
32,64,0.0094432,10000
32,128,0.0102697,10000
32,256,0.00936048,10000
32,512,0.0124644,10000
32,1024,0.0276529,10000
32,2048,0.0372368,10000
32,4096,0.068038,10000
64,2,0.00885275,10000
64,4,0.00775983,10000
64,8,0.00770606,10000
64,16,0.00905147,10000
64,32,0.00917213,10000
64,64,0.00966811,10000
64,128,0.0103341,10000
64,256,0.00979501,10000
64,512,0.013642,10000
64,1024,0.0392508,10000
64,2048,0.0563798,10000
64,4096,0.081215,10000
128,2,0.69835,10000
128,4,0.707473,10000
128,8,0.00821801,10000
128,16,0.00972958,10000
128,32,0.00960878,10000
128,64,0.0103828,10000
128,128,0.0133821,10000
128,256,0.0134887,10000
128,512,0.0193221,10000
128,1024,0.0568181,10000
128,2048,0.0818565,10000
128,4096,0.121472,10000
256,2,1.29386,10000
256,4,1.07387,10000
256,8,0.0351657,10000
256,16,0.0646485,10000
256,32,0.971838,10000
256,64,0.896415,10000
256,128,0.893233,10000
256,256,0.887817,10000
256,512,0.0497941,10000
256,1024,0.345207,10000
256,2048,0.119253,10000
256,4096,0.320059,10000
